geometry,LST,NDVI
POINT (73.81029989850151 18.496087121199917),39.019438760000014,0.4329715669155121
POINT (73.81074905614358 18.496087121199917),38.99038559000002,0.46879398822784424
POINT (73.81119821378563 18.496087121199917),38.566551110000006,0.19793716073036194
POINT (73.8116473714277 18.496087121199917),38.376851000000045,0.18355470895767212
POINT (73.81209652906976 18.496087121199917),38.48110061,0.19716237485408783
POINT (73.81254568671181 18.496087121199917),38.87929994000001,0.4571917653083801
POINT (73.81299484435388 18.496087121199917),39.053618959999994,0.33914005756378174
POINT (73.81344400199593 18.496087121199917),39.07070906000001,0.489572674036026
POINT (73.813893159638 18.496087121199917),39.132233420000006,0.26917997002601624
POINT (73.81434231728005 18.496087121199917),39.19888481000001,0.46554961800575256
POINT (73.81479147492212 18.496087121199917),39.35953175000003,0.45536115765571594
POINT (73.81524063256417 18.496087121199917),41.19159047000002,0.25524771213531494
POINT (73.81568979020624 18.496087121199917),42.073439630000024,0.2936983108520508
POINT (73.81613894784829 18.496087121199917),44.604483440000024,0.08920788019895554
POINT (73.81658810549035 18.496087121199917),45.088133270000014,0.09958826005458832
POINT (73.81703726313242 18.496087121199917),44.17552193000003,0.1821506917476654
POINT (73.81748642077447 18.496087121199917),43.261201580000034,0.28782784938812256
POINT (73.81793557841654 18.496087121199917),41.382999590000026,0.37610673904418945
POINT (73.81838473605859 18.496087121199917),39.36636779000003,0.3577044904232025
POINT (73.81883389370066 18.496087121199917),38.81093953999999,0.41786912083625793
POINT (73.81928305134271 18.496087121199917),37.240359350000034,0.5971479415893555
POINT (73.81973220898477 18.496087121199917),37.30188371,0.6288605332374573
POINT (73.82018136662683 18.496087121199917),37.34289995000003,0.516023576259613
POINT (73.82063052426889 18.496087121199917),37.853893940000006,0.4759698212146759
POINT (73.82107968191094 18.496087121199917),38.22304009999999,0.34708738327026367
POINT (73.79188443517707 18.49653627884198),48.699271400000015,0.23082168400287628
POINT (73.79233359281913 18.49653627884198),48.91631567000002,0.21091397106647491
POINT (73.79278275046119 18.49653627884198),48.396776630000005,0.22005939483642578
POINT (73.79323190810325 18.49653627884198),47.70462757999999,0.20084823668003082
POINT (73.7936810657453 18.49653627884198),45.687995779999994,0.23086555302143097
POINT (73.79413022338737 18.49653627884198),43.391086340000015,0.28699684143066406
POINT (73.79457938102942 18.49653627884198),40.97796422000005,0.29587626457214355
POINT (73.79502853867149 18.49653627884198),40.27214309000004,0.4405919015407562
POINT (73.79547769631354 18.49653627884198),39.434728190000016,0.5638172626495361
